受信メッセージ,分類1,分類2,分類3,分類4
冷たいですか,温度質問,冷たい,,
冷えていますか,温度質問,冷たい,,
熱いですね,温度質問,熱い,,
あついですね,温度質問,熱い,,
暖かいですか,気温質問,暖かい,,
今日は暑いですか,気温質問,暑い,,
外は暑いですか,気温質問,暑い,,
外は寒いですか,気温質問,寒い,,
快適ですか,気温質問,快適,,
寒いね,気温質問,寒い,,
風が強いですか,風速質問,強風,,
自己紹介してよ,自己依頼,,,
自己紹介してください,自己依頼,,,
なんで、はるなの,名前由来,,,
どうして、はるなの,名前由来,,,
名前の由来は,名前由来,,,
はるの由来は,名前由来,,,
自己紹介お願いします,自己依頼,,,
お腹すいた,ピザ注文,,,
ピザが食べたい,ピザ注文,,,
ピザの注文,ピザ注文,,,
ピザを注文したい,ピザ注文,,,
ピザを食べたい,ピザ注文,,,
明日の天気はどうですか,明日天気,,,
明日の天気,明日天気,,,
日が照っていますか,今日天気,,,
曇っていますか,今日天気,,,
天気は,今日天気,,,
雪が降りましたか,今日天気,,,
晴れですか,今日天気,,,
今日は晴れですね,今日天気,,,
今日は雨ですか,今日天気,,,
今日の予報はどうですか,今日天気,,,
今日の天気は,今日天気,,,
今週の天気,明日天気,,,
今の天気は,今日天気,,,
雨ですか,天気予報,,,
雨が降りますか,天気予報,,,
雨が降りましたか,天気予報,,,
お日様が見えましたか,今日天気,,,
明日の天気は,明日天気,,,
明日の予報は,明日天気,,,
明日の天気予報は,明日天気,,,
私の名前が解りますか,質問名前,,,
僕の名前が判りますか,質問名前,,,
僕の名前を知っていますか,質問名前,,,
名前わかる,質問名前,,,
わたしの名前を知っていますか,質問名前,,,
ぼくの名前わかる,質問名前,,,
私の名前を知っていますか,質問名前,,,
名前知っている,質問名前,,,
おぎゃー,擬声音-赤ちゃん,,,
あつい,感情苦痛,,,
暑いですね,気温感想暑い,,,
軽いね,感情驚き,,,
ぼうっと,擬容語-ぼうっと,,,
可愛いな,容姿褒め,,,
かわいいよ,容姿褒め,,,
良いよ,良い評価,,,
いいね,良い評価,,,
かわいいね,容姿褒め,,,
良いね,良い評価,,,
いいな,良い評価,,,
お元気ですか,体調質問,,,
ばたばた,擬容語-ばたばた,,,
調子は,体調質問,,,
優しい,やさしい態度,,,
やさしいな,やさしい態度,,,
ずきずき,擬情語-ずきずき,,,
うっとり,擬情語-うっとり,,,
しんみり,擬情語-しんみり,,,
わんわん,擬声音-犬の鳴き声,,,
かわいい,容姿褒め,,,
おもしろい,感情楽しい,,,
可愛いよ,容姿褒め,,,
かわいいな,容姿褒め,,,
良いな,良い評価,,,
うんそう,感情共感,,,
うんうん,感情共感,,,
えーと,考え中,,,
ただいま,帰着挨拶,,,
ただいま,帰着挨拶,,,
ただいま、帰宅しました。,帰着挨拶,,,
いらっしゃい,歓迎挨拶,,,
いらっしやいませ,歓迎挨拶,,,
ご機嫌よう,挨拶,,,
お疲れ様,挨拶,,,
おつかれさま,挨拶,,,
お疲れさま,仕事挨拶,,,
お疲れ,仕事挨拶,,,
疲れた,感情倦怠,,,
つかれた,感情倦怠,,,
お疲れさまです,仕事挨拶,,,
おっはー,朝挨拶,,,
おはよう,朝挨拶,,,
おはようございます,朝挨拶,,,
こんばんは,夜挨拶,,,
面白いよ,感情楽しい,,,
面白いね,感情楽しい,,,
おもしろいよ,感情楽しい,,,
おもしろいな,感情楽しい,,,
眠い,感情眠気,,,
おやすみなさい,夜別れ挨拶,,,
おやすみ,夜別れ挨拶,,,
お元気ですか,体調質問,,,
帰りました,帰着挨拶,,,
只今、帰りました。,帰着挨拶,,,
お疲れさまでした,別れ挨拶,,,
お先に失礼いたします,別れ挨拶,,,
さむい,気温感想寒い,,,
確信度表示モード,モード切替,確信度モード,,
凄いな,感情関心,,,
すごいな,感情関心,,,
可愛い,容姿褒め,,,
わくわく,擬情語-わくわく,,,
嫉妬,嫉妬,,,
ぐちゃぐちゃ,擬態音-ぐちゃぐちゃ,,,
元気ですか,体調質問,,,
今日は何の日,暦質問,,,
調子はどうだい,体調質問,,,
ご機嫌よう,挨拶,,,
ごきげんよう,挨拶,,,
ありがとうごさいました,お別れ挨拶,,,
いつも、お世話になっています,仕事挨拶,,,
毎度、お世話になっています,仕事挨拶,,,
いつもお世話になっております,仕事挨拶,,,
こんにちわ,昼挨拶,,,
こんにちは,昼挨拶,,,
ちわー,昼挨拶,,,
お疲れ,夜挨拶,,,
こんばんわ,夜挨拶,,,
こんばんは,夜挨拶,,,
お晩です,夜挨拶,,,
ざあざあ,擬態音-ざあざあ,,,
調子はどうだい,体調質問,,,
さようなら,別れ挨拶,,,
さよなら,別れ挨拶,,,
さらっと,擬態音-さらっと,,,
じゃあね,別れ挨拶,,,
凄いね,感情関心,,,
すごいね,感情関心,,,
涼しい,気温感想涼しい,,,
暑いね,気温感想暑い,,,
今日は何曜日,暦質問,,,
ぐんぐん,擬容語-ぐんぐん,,,
調子はどうだい,体調質問,,,
優しいね,やさしい態度,,,
やさしいね,やさしい態度,,,
そうそう,感情共感,,,
肌寒い,気温感想寒い,,,
残念,期待値不足,,,
晴れですね,天気同意,,,
気持ちの良い朝ですね,天気同意,,,
そうですね,感情共感,,,
凄いよ,感情関心,,,
すごいよ,感情関心,,,
そうね,感情共感,,,
今何時,時刻質問,,,
何時,時刻質問,,,
なんじ,時刻質問,,,
いま何時,時刻質問,,,
楽しかった,感情喜び,,,
元気だよ,体調質問,,,
げんきだよ,体調質問,,,
何の日,暦質問,,,
怒った,怒り,,,
怒り,怒り,,,
だったら,相槌反論,,,
ちわーす,昼挨拶,,,
通常モード,モード切替,通常モード,,
つるつる,擬態音-つるつる,,,
ありがとう,感謝,,,
有難う,感謝,,,
ありがとうございます,感謝,,,
寂しい,感情悲しみ,,,
怖い,感情恐怖,,,
恐ろしい,感情恐怖,,,
いらいら,擬情語-いらいら,,,
